ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa04512	hsa04512	ECM-receptor interaction	80	0.677440186933704	2.06646566377874	1.41384489348734e-10	1.58350628070582e-08	1.21541052247157e-08	2553	tags=54%, list=18%, signal=44%	COL1A2/COL4A1/SPP1/THBS2/TNC/LAMA4/COL1A1/LAMA3/HSPG2/COL4A2/NPNT/LAMB3/FN1/LAMC1/LAMC2/SDC1/IBSP/ITGB6/LAMC3/ITGB3/ITGB4/ITGA2/COL4A6/VWF/LAMB2/LAMA5/COL6A1/ITGA9/SV2B/HMMR/COL6A3/COL4A5/ITGB5/SDC4/TNN/CD36/AGRN/FRAS1/LAMA1/GP5/COL9A3/THBS1/ITGB8
hsa04820	hsa04820	Cytoskeleton in muscle cells	177	0.587655116505979	1.8670205256922	1e-10	1.58350628070582e-08	1.21541052247157e-08	2878	tags=44%, list=20%, signal=35%	COL1A2/COL3A1/COL4A1/DSP/THBS2/BGN/COL11A1/DCN/FBN1/NID1/COL1A1/HSPG2/XIRP1/COL4A2/FLNC/DSC2/MYH14/COL5A2/ATP1A4/VCAN/FN1/SDC2/DSG2/SDC1/TNNT1/MYL3/NEBL/ITGB6/ITGB3/COL5A3/ITGB4/TNNT2/ITGA2/COL4A6/PDLIM3/JUP/DIAPH3/DES/COL6A1/MYBPC1/ITGA9/FBN2/PDLIM4/ATP1A2/SDC3/PKP2/ACTG2/MYOT/MYL9/COL6A3/SGCA/ELN/COL4A5/ITGB5/SDC4/COL5A1/ATP1B3/SSPN/ACTA1/TNNC2/AGRN/ACTC1/LAMA1/MYPN/AMPD1/LMOD1/COL9A3/THBS1/ITGB8/LMNB1/TRIM54/CKM/TLN2/PDLIM7/DAG1/TPM2/FHL2
hsa04510	hsa04510	Focal adhesion	162	0.586392203588763	1.85660853326085	1e-10	1.58350628070582e-08	1.21541052247157e-08	3368	tags=45%, list=24%, signal=35%	COL1A2/COL4A1/SPP1/THBS2/MET/TNC/BCAR1/EGFR/LAMA4/HGF/COL1A1/LAMA3/COL4A2/PDGFC/LAMB3/PDGFRA/FN1/LAMC1/LAMC2/IBSP/PARVA/ITGB6/LAMC3/ITGB3/ITGB4/ITGA2/COL4A6/VWF/MYLK2/FLT1/LAMB2/LAMA5/PIP5K1B/SHC3/COL6A1/DOCK1/ITGA9/CAV1/MYL9/EMP2/COL6A3/CAV2/IGF1/PDGFA/ACTN1/COL4A5/ITGB5/TNN/SHC4/SHC2/LAMA1/PTK2/EMP1/PDGFRB/COL9A3/THBS1/ITGB8/IGF1R/TLN2/KDR/ITGA1/PRKCG/MYLK4/VAV2/FLNB/THBS4/VEGFA/BIRC3/MYLK/LAMB1/ITGA7/SRC/ITGA3
hsa05146	hsa05146	Amoebiasis	88	0.639500064434535	1.97092657581816	2.05705751524885e-09	1.72792831280904e-07	1.32626076641044e-07	2438	tags=45%, list=17%, signal=38%	COL1A2/COL3A1/COL4A1/CXCL1/LAMA4/CXCL3/COL1A1/LAMA3/COL4A2/LAMB3/RAB7B/MUC2/FN1/CXCL8/LAMC1/CXCL2/LAMC2/IL1R2/LAMC3/COL4A6/LAMB2/IL6/LAMA5/IL1B/SERPINB4/CD14/GNA11/ACTN1/COL4A5/IL1R1/CD1A/SERPINB3/TLR4/TGFB2/LAMA1/PLCB4/GNA15/PTK2/ARG2/GNAL
hsa04151	hsa04151	PI3K-Akt signaling pathway	262	0.5055499383393	1.62587055160635	2.53107832383345e-08	1.70088463361608e-06	1.30550355650357e-06	3368	tags=37%, list=24%, signal=29%	COL1A2/COL4A1/SPP1/THBS2/MET/KITLG/TNC/EGFR/LAMA4/CREB3L1/HGF/COL1A1/EPHA2/LAMA3/COL4A2/PDGFC/PRKAA2/LAMB3/GNG12/PDGFRA/GNG4/EFNA2/FGF2/FN1/LAMC1/LAMC2/IBSP/ITGB6/TEK/LAMC3/ITGB3/ITGB4/ITGA2/COL4A6/VWF/ANGPT1/FLT1/LAMB2/IL6/FGF17/LAMA5/COL6A1/CSF1R/ITGA9/CREB3L3/EFNA1/COL6A3/NTRK2/FGFR3/IGF1/IL2RA/PDGFA/MAGI1/PRL/COL4A5/ITGB5/MYB/INSR/IL7/TNN/LPAR1/EREG/FGFR4/NTRK1/TLR4/FGF1/LAMA1/PTK2/GHR/FGFR2/FGF18/PPP2R2C/PDGFRB/COL9A3/THBS1/ITGB8/CSF1/BCL2L11/IGF1R/ARTN/CSF3R/OSMR/GNG11/CREB5/KDR/ITGA1/TLR2/THBS4/EFNA4/MYC/VEGFA/GNB4/LAMB1/ITGA7/CCNE1/AREG/PIK3R6/ITGA3
hsa04657	hsa04657	IL-17 signaling pathway	74	0.646136747339075	1.96013577181743	3.81832767119288e-08	1.86581749566551e-06	1.43209676202396e-06	1593	tags=35%, list=11%, signal=31%	MMP1/CXCL5/CXCL1/MUC5B/CCL7/MMP3/IL17A/CXCL3/CCL2/CCL11/IL17F/MMP13/CXCL10/MUC5AC/LCN2/MMP9/S100A7/CXCL8/CXCL2/CXCL6/IL13/IL6/IL1B/IL17B/TNFAIP3/MAPK12
hsa04060	hsa04060	Cytokine-cytokine receptor interaction	226	0.516442171283611	1.6543286292069	3.88711978263647e-08	1.86581749566551e-06	1.43209676202396e-06	2918	tags=38%, list=21%, signal=31%	IL22/CXCL5/CXCL9/CXCL1/CCL7/CCL1/CCL8/IL17A/CXCL3/CCL2/TNFRSF21/CCL11/INHBA/IL17F/IL20/CXCL11/TNFSF15/CXCL10/CCL21/IL34/CCL13/IL1RN/IL31RA/CXCL8/CCL18/CCR3/CXCL2/CCL26/ACVRL1/BMP6/TNFRSF8/IL19/CXCL6/IL1R2/IL13/CSF2RB/IL1A/IL20RA/IL6/CXCL13/IL1B/BMPR1B/IFNE/CSF1R/EDAR/CX3CL1/INHBB/IL21/IL17B/IL2RA/TNFSF13/IL1RL2/IL26/CXCL12/TNFRSF18/CXCL16/PRL/GDF15/IL13RA1/CCR8/IL1R1/IL7/CXCL14/TNFRSF11A/EBI3/CCL15/TGFB2/CCL22/IL33/TNFRSF11B/TNFRSF13B/GHR/BMP2/LEP/CSF1/CCR7/IFNGR2/TNFRSF9/CSF3R/CCL20/OSMR/BMP4/LTBR/CXCR5/TNFRSF4/IL21R/IL6ST
hsa04974	hsa04974	Protein digestion and absorption	90	0.610877208136676	1.88517322212597	1.5695489443507e-07	6.59210556627296e-06	5.05973014955161e-06	1807	tags=40%, list=13%, signal=35%	COL1A2/COL3A1/COL12A1/COL4A1/COL11A1/CPA3/PRSS3/COL1A1/KCNE3/COL4A2/COL14A1/COL5A2/COL7A1/ATP1A4/COL15A1/COL5A3/COL4A6/CELA2B/SLC1A1/SLC6A19/COL22A1/COL6A1/PGA3/ATP1A2/MEP1A/COL16A1/ACE2/COL6A3/COL28A1/COL21A1/ELN/COL4A5/COL5A1/PRSS2/SLC8A1/ATP1B3
hsa05205	hsa05205	Proteoglycans in cancer	156	0.545427203736963	1.72211287300711	2.14359842656371e-07	8.00276745917118e-06	6.14247502348665e-06	3569	tags=46%, list=25%, signal=34%	COL1A2/LUM/MMP2/MET/EGFR/DCN/WNT5A/HGF/COL1A1/HSPG2/TIMP3/IHH/MMP9/FGF2/FN1/SDC2/GPC3/SDC1/PLAU/SMO/ITGB3/ITGA2/CTTN/WNT2/FZD1/TWIST1/HSPB2/FZD9/NANOGP8/CAV1/FZD10/CAV2/IGF1/WNT9A/MAPK12/WNT4/CTSL/ITGB5/SDC4/GAB1/FZD4/WNT7B/SHH/TLR4/TGFB2/MRAS/PTK2/ANK1/FZD8/THBS1/IGF1R/HBEGF/MAPK11/KDR/WNT11/FZD6/PRKCG/WNT5B/TLR2/VAV2/MYC/VEGFA/ARHGEF12/TIAM1/SRC/HIF1A/PLAUR/EZR/ANK2/HPSE/CDKN1A
hsa04061	hsa04061	Viral protein interaction with cytokine and cytokine receptor	87	0.609180502876546	1.87253666597047	2.77958148552711e-07	9.3393937913711e-06	7.16839435741203e-06	1155	tags=31%, list=8%, signal=29%	CXCL5/CXCL9/CXCL1/CCL7/CCL1/CCL8/CXCL3/CCL2/CCL11/IL20/CXCL11/CXCL10/CCL21/IL34/CCL13/CXCL8/CCL18/CCR3/CXCL2/CCL26/IL19/CXCL6/IL20RA/IL6/CXCL13/CSF1R/CX3CL1
hsa03010	hsa03010	Ribosome	83	-0.422931290250302	-2.23379569472696	5.4625203123703e-07	1.66855165905129e-05	1.28068658041218e-05	4635	tags=82%, list=33%, signal=55%	RPS15/MRPS7/RPS3A/RPLP1/RPL36/RPL11/RPS24/MRPS9/RPL5/RPS27/RPL12/RPL34/RPL6/RPL9/MRPL10/RPL29/RPL18A/RPLP2/RPL28/RPL39/MRPL4/RPS25/RPL18/RPL32/MRPL2/RPL19/MRPS18C/RPL8/MRPL9/UBA52/RPL3/RPL10A/RPL35/RPS14/RPS21/RPS5/RPS19/RPL14/RPL27/MRPS10/RPS2/RPLP0/RPL27A/FAU/RPS23/RPL41/MRPL23/RPL17/RPL7A/RPS7/RPS15A/RPL13/RPL10/RPS12/RPL23A/RPS18/MRPS17/RPL30/RPS27A/RPS3/MRPL35/RPL36A/RPL17-C18orf32/RPL26/RPS10/RPS4Y1/RPS10-NUDT3/RPL3L
